Generation	62	best	fitness	is	100000
Generation	6	best	fitness	is	100000
Generation	21	best	fitness	is	100000
Generation	9	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	20	best	fitness	is	100000
Generation	11	best	fitness	is	100000
Generation	18	best	fitness	is	100000
Generation	19	best	fitness	is	100000
Generation	22	best	fitness	is	100000
Generation	14	best	fitness	is	100000
Generation	30	best	fitness	is	100000
Generation	9	best	fitness	is	100000
Generation	43	best	fitness	is	100000
Generation	17	best	fitness	is	100000
Generation	6	best	fitness	is	100000
Generation	63	best	fitness	is	100000
Generation	8	best	fitness	is	100000
Generation	31	best	fitness	is	100000
Generation	41	best	fitness	is	100000
Generation	26	best	fitness	is	100000
Generation	21	best	fitness	is	100000
Generation	22	best	fitness	is	100000
Generation	29	best	fitness	is	100000
Generation	13	best	fitness	is	100000
Generation	10	best	fitness	is	100000
Generation	42	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	8	best	fitness	is	100000
Generation	18	best	fitness	is	100000
Generation	19	best	fitness	is	100000
Generation	11	best	fitness	is	100000
Generation	17	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	8	best	fitness	is	100000
Generation	21	best	fitness	is	100000
Generation	25	best	fitness	is	100000
Generation	35	best	fitness	is	100000
Generation	13	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	10	best	fitness	is	100000
Generation	24	best	fitness	is	100000
Generation	11	best	fitness	is	100000
Generation	33	best	fitness	is	100000
Generation	21	best	fitness	is	100000
Generation	9	best	fitness	is	100000
Generation	34	best	fitness	is	100000
Generation	14	best	fitness	is	100000
Generation	36	best	fitness	is	100000
Generation	25	best	fitness	is	100000
Generation	10	best	fitness	is	100000
Generation	31	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	10	best	fitness	is	100000
Generation	4	best	fitness	is	100000
Generation	43	best	fitness	is	100000
Generation	20	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	18	best	fitness	is	100000
Generation	33	best	fitness	is	100000
Generation	30	best	fitness	is	100000
Generation	31	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	15	best	fitness	is	100000
Generation	11	best	fitness	is	100000
Generation	16	best	fitness	is	100000
Generation	43	best	fitness	is	100000
Generation	39	best	fitness	is	100000
Generation	8	best	fitness	is	100000
Generation	14	best	fitness	is	100000
Generation	29	best	fitness	is	100000
Generation	24	best	fitness	is	100000
Generation	17	best	fitness	is	100000
Generation	18	best	fitness	is	100000
Generation	15	best	fitness	is	100000
Generation	7	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	11	best	fitness	is	100000
Generation	19	best	fitness	is	100000
Generation	22	best	fitness	is	100000
Generation	31	best	fitness	is	100000
Generation	25	best	fitness	is	100000
Generation	9	best	fitness	is	100000
Generation	15	best	fitness	is	100000
Generation	10	best	fitness	is	100000
Generation	9	best	fitness	is	100000
Generation	24	best	fitness	is	100000
Generation	65	best	fitness	is	100000
Generation	28	best	fitness	is	100000
Generation	21	best	fitness	is	100000
Generation	33	best	fitness	is	100000
Generation	14	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	12	best	fitness	is	100000
Generation	17	best	fitness	is	100000
Generation	16	best	fitness	is	100000
Generation	10	best	fitness	is	100000
Generation	21	best	fitness	is	100000
Generation	14	best	fitness	is	100000
Generation	38	best	fitness	is	100000
	20.63				
